File,Name,Rarity,Class,Base HP,Base ATK,Base DEF,Range,Final HP,Final ATK,Final DEF,Total Power,AttackInterval,DeploymentCost,BlockCount,RespawnTime,CanAttackFlying,DamageType,AttackType,AttackPattern
06_lumina_lunar_stalker.md,"Lumina, Lunar Stalker",R,Assassin,800,100,15,1,960,120,18,633,0.8,13,1,20.0,False,Melee,SingleTarget,All
12_feral_alley_cat.md,Feral Alley-Cat,R,Assassin,800,100,15,1,960,120,18,633,0.8,13,1,20.0,False,Melee,SingleTarget,All
20_vane_shadow_assassin.md,"Vane, Shadow Assassin",R,Assassin,800,100,15,1,960,120,18,633,0.8,13,1,20.0,False,Melee,SingleTarget,All
04_reanimated_shieldbearer.md,Tarkus (Reanimated Shieldbearer),UC,Bastion,2500,30,60,1,2750,33,66,627,1.2,16,3,18.0,False,Melee,SingleTarget,All
10_rune_scarred_gladiator.md,Rune-Scarred Gladiator,R,Vanguard,1500,60,30,1,1800,72,36,622,1.0,15,2,20.0,False,Melee,SingleTarget,All
14_alaric_dusk_knight.md,"Alaric, Dusk Knight",R,Vanguard,1500,60,30,1,1800,72,36,622,1.0,15,2,20.0,False,Melee,SingleTarget,All
19_lupus_howling_marauder.md,"Lupus, Howling Marauder",R,Vanguard,1500,60,30,1,1800,72,36,622,1.0,15,2,20.0,False,Melee,SingleTarget,All
15_draco_vampiric_aristocrat.md,"Draco, Vampiric Aristocrat",R,Warlock,600,90,10,2,720,108,12,575,1.5,15,1,20.0,True,Magic,AreaOfEffect,All
17_sibyl_bloodied_oracle.md,"Sibyl, Bloodied Oracle",R,Warlock,600,90,10,2,720,108,12,575,1.5,15,1,20.0,True,Magic,AreaOfEffect,All
01_nerissa_midnight_archivist.md,"Nerissa, Midnight Archivist",SR,Blood,1000,50,25,1,1300,65,32,565,1.0,18,1,22.0,False,Melee,SingleTarget,All
06_ravenna_pale_empress.md,"Ravenna, Pale Empress",SR,Tactician,1000,50,25,1,1300,65,32,565,1.0,18,1,22.0,False,Melee,SingleTarget,All
16_celia_sanctus_traitor.md,"Celia, Sanctus Traitor",SR,Blood,1000,50,25,1,1300,65,32,565,1.0,18,1,22.0,False,Melee,SingleTarget,All
02_eira_frostbane_sniper.md,"Eira, Frostbane Sniper",R,Ranger,600,80,10,3,720,96,12,555,1.0,15,1,20.0,True,Physical,SingleTarget,Horizontal
18_zephyr_wind_rider.md,"Zephyr, Wind Rider",R,Ranger,600,80,10,3,720,96,12,555,1.0,15,1,20.0,True,Physical,SingleTarget,Horizontal
01_shadow_stalker.md,Viona (Shadow Stalker),UC,Assassin,800,100,15,1,880,110,16,547,0.8,10,1,18.0,False,Melee,SingleTarget,All
07_feline_scout.md,Tika (Feline Scout),UC,Assassin,800,100,15,1,880,110,16,547,0.8,10,1,18.0,False,Melee,SingleTarget,All
03_armored_dire_wolf.md,Ulf (Armored Dire-Wolf),UC,Vanguard,1500,60,30,1,1650,66,33,538,1.0,12,2,18.0,False,Melee,SingleTarget,All
06_ember_bruiser.md,Fyr (Ember Bruiser),UC,Vanguard,1500,60,30,1,1650,66,33,538,1.0,12,2,18.0,False,Melee,SingleTarget,All
06_mort_grave_digger.md,"Mort, Grave Digger",Common,Bastion,2500,30,60,1,2500,30,60,536,1.2,14,3,15.0,False,Melee,SingleTarget,All
16_cinder_undead_guard.md,"Cinder, Undead Guard",Common,Bastion,2500,30,60,1,2500,30,60,536,1.2,14,3,15.0,False,Melee,SingleTarget,All
19_karrow_skeleton_guard.md,"Karrow, Skeleton Guard",Common,Bastion,2500,30,60,1,2500,30,60,536,1.2,14,3,15.0,False,Melee,SingleTarget,All
14_nightmare_weaver.md,Nightmare Weaver,SSR,Support,700,40,20,2,980,56,28,531,1.0,22,1,25.0,True,Melee,SingleTarget,All
05_scorned_adept.md,Xylia (Scorned Adept),UC,Warlock,600,90,10,2,660,99,11,499,1.5,12,1,18.0,True,Magic,AreaOfEffect,All
03_caius_heretic_priest.md,"Caius, Heretic Priest",R,Blood,1000,50,25,1,1200,60,30,497,1.0,15,1,20.0,False,Melee,SingleTarget,All
08_malphas_abyssal_tactician.md,"Malphas, Abyssal Tactician",R,Tactician,1000,50,25,1,1200,60,30,497,1.0,15,1,20.0,False,Melee,SingleTarget,All
11_corvus_plague_doctor.md,"Corvus, Plague Doctor",R,Blood,1000,50,25,1,1200,60,30,497,1.0,15,1,20.0,False,Melee,SingleTarget,All
02_defected_marksman.md,Callum (Defected Marksman),UC,Ranger,600,80,10,3,660,88,11,483,1.0,12,1,18.0,True,Physical,SingleTarget,Horizontal
09_skeletal_archer.md,Korr (Skeletal Archer),UC,Ranger,600,80,10,3,660,88,11,483,1.0,12,1,18.0,True,Physical,SingleTarget,Horizontal
10_nightwing_harpy.md,Skyra (Nightwing Harpy),UC,Ranger,600,80,10,3,660,88,11,483,1.0,12,1,18.0,True,Physical,SingleTarget,Horizontal
11_jax_cursed_bandit.md,"Jax, Cursed Bandit",Common,Assassin,800,100,15,1,800,100,15,470,0.8,8,1,15.0,False,Melee,SingleTarget,All
15_val_lesser_vampire.md,"Val, Lesser Vampire",Common,Assassin,800,100,15,1,800,100,15,470,0.8,8,1,15.0,False,Melee,SingleTarget,All
20_gnaw_feral_ghoul.md,"Gnaw, Feral Ghoul",Common,Executioner,800,100,15,1,800,100,15,470,0.8,10,1,15.0,False,Melee,SingleTarget,All
01b_varkas_drakmora_lancer.md,"Varkas, Drakmora Lancer",Common,Vanguard,1500,60,30,1,1500,60,30,462,1.0,10,2,15.0,False,Melee,SingleTarget,All
01_drakmora_infantry.md,"Kaldor, Drakmora Infantry",Common,Vanguard,1500,60,30,1,1500,60,30,462,1.0,10,2,15.0,False,Melee,SingleTarget,All
02_skeleton_militia.md,Skeleton Militia,Common,Vanguard,1500,60,30,1,1500,60,30,462,1.0,10,2,15.0,False,Melee,SingleTarget,All
03_aria_renegade_peasant.md,"Aria, Renegade Peasant",Common,Vanguard,1500,60,30,1,1500,60,30,462,1.0,10,2,15.0,False,Melee,SingleTarget,All
08_elias_forsaken_conscript.md,"Elias, Forsaken Conscript",Common,Vanguard,1500,60,30,1,1500,60,30,462,1.0,10,2,15.0,False,Melee,SingleTarget,All
12_stubbs_zombie_footman.md,"Stubbs, Zombie Footman",Common,Vanguard,1500,60,30,1,1500,60,30,462,1.0,10,2,15.0,False,Melee,SingleTarget,All
18_grog_demonized_thug.md,"Grog, Demonized Thug",Common,Vanguard,1500,60,30,1,1500,60,30,462,1.0,10,2,15.0,False,Melee,SingleTarget,All
08_exiled_cleric.md,Elowen (Exiled Cleric),UC,Blood,1000,50,25,1,1100,55,28,434,1.0,12,1,18.0,False,Melee,SingleTarget,All
10_solas_apprentice_cultist.md,"Solas, Apprentice Cultist",Common,Warlock,600,90,10,2,600,90,10,430,1.5,10,1,15.0,True,Magic,AreaOfEffect,All
07_pyrrhus_hellfire_alchemist.md,"Pyrrhus, Hellfire Alchemist",R,Support,700,40,20,2,840,48,24,417,1.0,15,1,20.0,True,Melee,SingleTarget,All
16_lava_bender.md,Lava-Bender,R,Support,700,40,20,2,840,48,24,417,1.0,15,1,20.0,True,Melee,SingleTarget,All
20_mina_charming_novice.md,"Mina, Charming Novice",R,Support,700,40,20,2,840,48,24,417,1.0,15,1,20.0,True,Melee,SingleTarget,All
05_skye_lesser_harpy.md,"Skye, Lesser Harpy",Common,Ranger,600,80,10,3,600,80,10,416,1.0,10,1,15.0,True,Physical,SingleTarget,Horizontal
09_fang_wolf_pup.md,"Fang, Wolf Pup",Common,Ranger,600,80,10,3,600,80,10,416,1.0,10,1,15.0,True,Physical,SingleTarget,Horizontal
13_noire_outcast_archer.md,"Noire, Outcast Archer",Common,Ranger,600,80,10,3,600,80,10,416,1.0,10,1,15.0,True,Physical,SingleTarget,Horizontal
14_dusk_skeleton_bowman.md,"Dusk, Skeleton Bowman",Common,Ranger,600,80,10,3,600,80,10,416,1.0,10,1,15.0,True,Physical,SingleTarget,Horizontal
01c_mordred_drakmora_crossbowman.md,"Mordred, Drakmora Crossbowman",Common,Marksman,1000,50,25,1,1000,50,25,376,1.0,10,1,15.0,False,Melee,SingleTarget,All
07_vesta_corrupt_acolyte.md,"Vesta, Corrupt Acolyte",Common,Blood,1000,50,25,1,1000,50,25,376,1.0,10,1,15.0,False,Melee,SingleTarget,All
21_zit_goblin_scout.md,"Zit, Goblin Scout",Common,Scout,1000,50,25,1,1000,50,25,376,1.0,10,1,15.0,False,Melee,SingleTarget,All
22_gloo_swamp_slime.md,"Gloo, Swamp Slime",Common,Tank,1000,50,25,1,1000,50,25,376,1.0,10,1,15.0,False,Melee,SingleTarget,All
23_verm_plague_rat.md,"Verm, Plague Rat",Common,Strikers,1000,50,25,1,1000,50,25,376,1.0,10,1,15.0,False,Melee,SingleTarget,All
04_lila_fledgling_succubus.md,"Lila, Fledgling Succubus",Common,Support,700,40,20,2,700,40,20,320,1.0,10,1,15.0,True,Melee,SingleTarget,All
17_luna_stray_kitten.md,"Luna, Stray Kitten",Common,Support,700,40,20,2,700,40,20,320,1.0,10,1,15.0,True,Melee,SingleTarget,All
